"resource","rid","r_name","seal","mechanism","porosity"
"CO",0,"Conventional","Yes","Buoyancy",">15%"
"SH",1,"Shale","No","Capillary Trap","<10%"
"TI",2,"Tight","No","Mixed","<15%"
"UNK",4,"Not reported","Unknown","Unknown","Not applicable"
